# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1711498382.086965,0,0,0,-1.067014455795288,18.203649520874023
1,1711498382.4229672,3200,1.0283911228179932,19.23967170715332,-1.067014455795288,18.203649520874023
2,1711498383.7409647,6400,1.0283911228179932,19.23967170715332,-0.9354419708251953,28.48563003540039
3,1711498385.2659647,9600,1.0756043195724487,15.025993347167969,-0.9354419708251953,28.48563003540039
4,1711498385.5829635,12800,1.0756043195724487,15.025993347167969,-0.9609554409980774,12.937536239624023
5,1711498387.361963,16000,1.0756043195724487,15.025993347167969,-1.1436805725097656,44.08647155761719
6,1711498387.621966,19200,1.34945809841156,50.03011703491211,-1.1436805725097656,44.08647155761719
7,1711498389.1529992,22400,1.34945809841156,50.03011703491211,-1.0902049541473389,8.654034614562988
8,1711498390.4799998,25600,1.2998154163360596,8.747879981994629,-1.0902049541473389,8.654034614562988
9,1711498390.9389987,28800,1.2998154163360596,8.747879981994629,-1.061060905456543,6.253619194030762
10,1711498392.6559987,32000,1.2998154163360596,8.747879981994629,-1.0365689992904663,9.286083221435547
11,1711498393.2250001,35200,1.257424235343933,13.20051383972168,-1.0365689992904663,9.286083221435547
12,1711498394.4299989,38400,1.257424235343933,13.20051383972168,-1.0147405862808228,17.27435302734375
13,1711498395.8670006,41600,1.2238346338272095,20.45094108581543,-1.0147405862808228,17.27435302734375
14,1711498396.3450003,44800,1.2238346338272095,20.45094108581543,-0.9979615807533264,8.993401527404785
15,1711498398.1280003,48000,1.2238346338272095,20.45094108581543,-0.9805859327316284,2.869588613510132
16,1711498399.2539306,51200,1.1994163990020752,5.579258441925049,-0.9805859327316284,2.869588613510132
17,1711498400.4519305,54400,1.1994163990020752,5.579258441925049,-0.9651927351951599,1.0114611387252808
18,1711498402.975933,57600,1.1994163990020752,5.579258441925049,-0.9531600475311279,0.9274485111236572
19,1711498403.916974,60800,1.1792986392974854,2.168785810470581,-0.9531600475311279,0.9274485111236572
20,1711498405.9495249,64000,1.1792986392974854,2.168785810470581,-0.9434799551963806,0.9022623300552368
21,1711498408.4881356,67200,1.1792986392974854,2.168785810470581,-0.9338864684104919,0.9260801672935486
22,1711498408.8532772,70400,1.165975570678711,1.8428738117218018,-0.9338864684104919,0.9260801672935486
23,1711498410.9176757,73600,1.165975570678711,1.8428738117218018,-0.9257649779319763,0.6255230903625488
24,1711498413.1832032,76800,1.1548703908920288,1.1419470310211182,-0.9257649779319763,0.6255230903625488
25,1711498413.250204,80000,1.1548703908920288,1.1419470310211182,-0.9197914600372314,0.5331706404685974
26,1711498415.4812024,83200,1.1548703908920288,1.1419470310211182,-0.9151935577392578,0.337528795003891
27,1711498417.2232018,86400,1.1490530967712402,0.8331724405288696,-0.9151935577392578,0.337528795003891
28,1711498417.7282016,89600,1.1490530967712402,0.8331724405288696,-0.9103689193725586,0.4947940707206726
29,1711498420.0402002,92800,1.1490530967712402,0.8331724405288696,-0.9048914909362793,0.25861409306526184
30,1711498421.6982012,96000,1.141047477722168,0.5153207182884216,-0.9048914909362793,0.25861409306526184
31,1711498422.3382006,99200,1.141047477722168,0.5153207182884216,-0.9002770185470581,0.38889598846435547
32,1711498424.6892035,102400,1.141047477722168,0.5153207182884216,-0.8969405889511108,0.2298288196325302
33,1711498426.0082037,105600,1.1353886127471924,0.6195346713066101,-0.8969405889511108,0.2298288196325302
34,1711498427.3492014,108800,1.1353886127471924,0.6195346713066101,-0.8942728638648987,0.18388427793979645
35,1711498429.9312007,112000,1.1353886127471924,0.6195346713066101,-0.8910923004150391,0.17157596349716187
36,1711498431.1452005,115200,1.1309455633163452,0.45592063665390015,-0.8910923004150391,0.17157596349716187
37,1711498432.6772032,118400,1.1309455633163452,0.45592063665390015,-0.8878970742225647,0.20365628600120544
38,1711498435.0851998,121600,1.1309455633163452,0.45592063665390015,-0.8857234716415405,0.21385017037391663
39,1711498435.652202,124800,1.1268216371536255,0.496585875749588,-0.8857234716415405,0.21385017037391663
